counter,date,year,location,tournament,logo,surface,opponent,flag,score,ranking,img
051,23 March,2015,Miami (USA),ATP Masters 1000 Miami,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,A. Murray (4),https://pab-ns.github.io/100-x-djokovic//imgs/flags/sh.svg,7-6 / 4-6 / 6-0,1,https://media.gettyimages.com/id/468681834/photo/miami-open-tennis-day-14.jpg?s=594x594&w=0&k=20&c=CIxk1oe2Lp9rWSVfhEUEnJ6QpCViIM-aG98POjPW4DM=
052,13 April,2015,Monte-Carlo (MCO),ATP Masters 1000 Monte-Carlo,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Clay,T. Berdych (8),https://pab-ns.github.io/100-x-djokovic//imgs/flags/cz.svg,7-5 / 4-6 / 6-3,1,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-celebrates-with-the-winners-trophy-after-picture-id470357060?k=6&m=470357060&s=594x594&w=0&h=orfIpJoBHV9mAYpR0JZyxULQAX1Gt7VsA31v9A1t0M8=
053,11 May,2015,Rome (ITA),ATP Masters 1000 Rome,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Clay,R. Federer (2),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ch.svg,6-4 / 6-3,1,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-celebrates-with-the-winners-trophy-after-his-picture-id473759822?k=6&m=473759822&s=594x594&w=0&h=7_S9FsGWlADiL78kGgpYYMHMVL74gXWZDOFvzRv6Sto=
054,29 June,2015,London (ENG),Wimbledon,https://pab-ns.github.io/100-x-djokovic//imgs/events/wimbledon.png,Grass,R. Federer (2),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ch.svg,7-6 / 6-7 / 6-4 / 6-3,1,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-celebrates-with-the-trophy-after-winning-the-picture-id480571790?k=6&m=480571790&s=594x594&w=0&h=Y2gHDmTOL3azuitRS5_GF4XnPen2OVaaZfpY04TyxpY=
055,31 August,2015,New York (USA),US Open,https://pab-ns.github.io/100-x-djokovic//imgs/events/us-open.png,Hard,R. Federer (2),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ch.svg,6-4 / 5-7 / 6-4 / 6-4,1,https://media.gettyimages.com/id/488137558/photo/2015-u-s-open-day-14.jpg?s=594x594&w=0&k=20&c=QFSEsAvgE74-fTjpIDG3jNCPW_50UKFlMOyaH373b-0=
056,5 October,2015,Beijing (CHN),ATP 500 Beijing,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-500.png,Hard,R. Nadal (8),https://pab-ns.github.io/100-x-djokovic//imgs/flags/es.svg,6-2 / 6-2,1,https://media.gettyimages.com/id/492241068/photo/2015-china-open-day-9.jpg?s=594x594&w=0&k=20&c=haXlACfMgwC4nuQAy8iwcH5S5_AfoewWS2vvyVQGS5Q=
057,12 October,2015,Shanghai (CHN),ATP Masters 1000 Shanghai,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,J. Tsonga (15),https://pab-ns.github.io/100-x-djokovic//imgs/flags/fr.svg,6-2 / 6-4,1,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-poses-with-the-winners-trophy-after-tsonga-picture-id493198010?k=6&m=493198010&s=594x594&w=0&h=clUtHU8n0MfMqWv7swJKPO7ziCg6Mpjks_46eL0V5Xo=
058,2 November,2015,Paris (FRA),ATP Masters 1000 Paris,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,A. Murray (3),https://pab-ns.github.io/100-x-djokovic//imgs/flags/sh.svg,6-2 / 6-4,1,https://media.gettyimages.com/id/496293610/photo/bnp-paribas-masters-day-seven.jpg?s=594x594&w=0&k=20&c=CN7RIRndPEF_ET_U4VkmPQZgTY78kGZ47c4gPlJHuhE=
059,16 November,2015,London (ENG),ATP Finals,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-finals.png,Hard,R. Federer (3),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ch.svg,6-3 / 6-4,1,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-lifts-the-trophy-following-his-victory-the-picture-id498315480?k=6&m=498315480&s=594x594&w=0&h=3N0Ee6Pbs7KQRsY7u3kzmgEAnb9YR1kmGqF6Nlg_lxU=
060,4 January,2016,Doha (QAT),ATP 250 Doha,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-250.png,Hard,R. Nadal (5),https://pab-ns.github.io/100-x-djokovic//imgs/flags/es.svg,6-1 / 6-2,1,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-poses-for-a-photo-with-his-winning-trophy-picture-id504162448?k=6&m=504162448&s=594x594&w=0&h=84L_NnCLiw_6_U7XP44NjZhdF5ewSu943sxN_KCU_d8=
061,18 January,2016,Melbourne (AUS),Australian Open,https://pab-ns.github.io/100-x-djokovic//imgs/events/ao.png,Hard,A. Murray (2),https://pab-ns.github.io/100-x-djokovic//imgs/flags/sh.svg,6-1 / 7-5 / 7-6,1,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-holds-the-norman-brookes-challenge-cup-after-picture-id507739190?k=6&m=507739190&s=594x594&w=0&h=G_v6K5qYZAEEF0VGW5uk0WV4XXCbklfDtRSYZR1beeg=
062,7 March,2016,Indian Wells (USA),ATP Masters 1000 Indian Wells,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,M. Raonic (14),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ca.svg,6-2 / 6-0,1,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-celebrates-with-the-winners-trophy-after-picture-id516738376?k=6&m=516738376&s=594x594&w=0&h=AeTC4oCiunXpS7iYAhL0ZBVSLaclDP2jEM9rCTp53PU=
063,21 March,2016,Miami (USA),ATP Masters 1000 Miami,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,K. Nishikori (6),https://pab-ns.github.io/100-x-djokovic//imgs/flags/jp.svg,6-3 / 6-3,1,https://media.gettyimages.com/id/518922306/photo/miami-open-day-14.jpg?s=594x594&w=0&k=20&c=TYULtTx3KjYOdauyswUm2myJJUHpIK_L6dLCzvTTzH4=
064,2 May,2016,Madrid (ESP),ATP Masters 1000 Madrid,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Clay,A. Murray (2),https://pab-ns.github.io/100-x-djokovic//imgs/flags/sh.svg,6-2 / 3-6 / 6-3,1,https://media.gettyimages.com/id/529696858/photo/mutua-madrid-open-day-nine.jpg?s=594x594&w=0&k=20&c=OCDfeyEqlxK0d6RenqTWFIlAMQTKmHiqG8vUiUkvg4k=
065,23 May,2016,Paris (FRA),Roland Garros,https://pab-ns.github.io/100-x-djokovic//imgs/events/roland-garros.png,Clay,A. Murray (2),https://pab-ns.github.io/100-x-djokovic//imgs/flags/sh.svg,3-6 / 6-1 / 6-2 / 6-4,1,https://media.gettyimages.com/id/538278658/photo/2016-french-open-day-fifteen.jpg?s=594x594&w=0&k=20&c=LOXGL7xk5moFz9jDupO7ALZbrN3MIaPt18peCj75-Lc=
066,25 July,2016,Toronto (CAN),ATP Masters 1000 Canada,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,K. Nishikori (6),https://pab-ns.github.io/100-x-djokovic//imgs/flags/jp.svg,6-3 / 7-5,1,https://media.gettyimages.com/id/584898796/photo/tennis-can-wta-rogerscup.jpg?s=594x594&w=0&k=20&c=9wQgKbZ_vaRpyJBPNU7HHL-ki-jt0Y3LDlRZnokpXAA=
067,2 January,2017,Doha (QAT),ATP 250 Doha,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-250.png,Hard,A. Murray (1),https://pab-ns.github.io/100-x-djokovic//imgs/flags/sh.svg,6-3 / 5-7 / 6-4,2,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-celebrates-with-the-trophy-after-winning-the-picture-id631154668?k=6&m=631154668&s=594x594&w=0&h=RJrQX9UyFqekajh5gtAZj0tKlE2F4tO8lruj7svbX10=
068,26 June,2017,Eastbourne (ENG),ATP 250 Eastbourne,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-250.png,Grass,G. Monfils (16),https://pab-ns.github.io/100-x-djokovic//imgs/flags/fr.svg,6-3 / 6-4,4,https://media.gettyimages.com/photos/champion-novak-djokovic-of-serbia-poses-with-the-trophy-after-victory-picture-id805284152?k=6&m=805284152&s=594x594&w=0&h=SMXLRPtzExbUFT3LlEIZB56kPADUiMM-QthoM4M53nU=
069,2 July,2018,London (ENG),Wimbledon,https://pab-ns.github.io/100-x-djokovic//imgs/events/wimbledon.png,Grass,K. Anderson (8),https://pab-ns.github.io/100-x-djokovic//imgs/flags/za.svg,6-2 / 6-2 / 7-6,21,https://media.gettyimages.com/photos/serbias-novak-djokovic-kisses-the-winners-the-trophy-after-beating-picture-id999458986?k=6&m=999458986&s=594x594&w=0&h=yTNFn6F7DhAu2UphlHZJI5Vx96Qj7Uf5a-mXWCjrCI0=
070,13 August,2018,Cincinnati (USA),ATP Masters 1000 Cincinnati,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,R. Federer (2),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ch.svg,6-4 / 6-4,10,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-kisses-the-trophy-after-defeating-roger-of-picture-id1019631876?k=6&m=1019631876&s=594x594&w=0&h=iLY1nmbd6xh9cBy_80Z3YRxpP5ubP_X7BvmtXj75tzg=
071,27 August,2018,New York (USA),US Open,https://pab-ns.github.io/100-x-djokovic//imgs/events/us-open.png,Hard,J. del Potro (3),https://pab-ns.github.io/100-x-djokovic//imgs/flags/ar.svg,6-3 / 7-6 / 6-3,6,https://media.gettyimages.com/id/1030089194/photo/topshot-tennis-us-open-2018.jpg?s=594x594&w=0&k=20&c=2X4eWbPSDvzvGesFHhqb4njnQe223xVWhhKvLtPNDrs=
072,8 October,2018,Shanghai (CHN),ATP Masters 1000 Shanghai,https://pab-ns.github.io/100-x-djokovic//imgs/events/atp-1000.png,Hard,B. Coric (19),https://pab-ns.github.io/100-x-djokovic//imgs/flags/hr.svg,6-3 / 6-4,3,https://media.gettyimages.com/id/1052113102/photo/2018-rolex-shanghai-masters-day-8.jpg?s=594x594&w=0&k=20&c=jk6h5vLA5qiSErHVk0Ox-7XZkygfTP7RkKQ6cXoOQi0=
073,14 January,2019,Melbourne (AUS),Australian Open,https://pab-ns.github.io/100-x-djokovic//imgs/events/ao.png,Hard,R. Nadal (2),https://pab-ns.github.io/100-x-djokovic//imgs/flags/es.svg,6-3 / 6-2 / 6-3,1,https://media.gettyimages.com/photos/novak-djokovic-of-serbia-poses-with-the-norman-brookes-challenge-cup-picture-id1125349649?k=6&m=1125349649&s=594x594&w=0&h=A7xjBfj4H6Lkvhzs23DKfpD74zSzYcMzLfY4ia3YCro=
